序号,课程号,课程名称,开课单位,课程类型,班号,学分,起止周,上课时间,教师,备注
1481,3633230,西班牙语语法,外国语学院,专业必修,1,2,1-16,星期三(第7节-第8节),蔡学娣,
1482,3633350,翻译学导论,外国语学院,专业任选,1,2,1-16,星期四(第5节-第6节),张慧玲,
1483,3835730,美国文化概览,英语语言文学系,大学英语,1,2,1-16,星期二(第3节-第4节),马小琦 KAY SAWYER,
1484,3835950,高级英语口语,英语语言文学系,大学英语,1,2,1-16,星期二(第5节-第6节),马小琦 Karen Siggins,
1485,4330052,中国美术通史（上）,艺术学院,专业必修,1,2,1-16,星期二(第1节-第2节),陈轩,
1486,4330089,信息技术与文化产业,艺术学院,专业必修,1,2,1-16,星期一(第7节-第8节),高峰,
1487,4330204,当代艺术与文化资源,艺术学院,专业必修,1,2,1-16,星期一(第5节-第6节),董丽慧,
1488,4330212,剧作法,艺术学院,专业必修,1,2,1-16,星期一(第10节-第11节),顾春芳,
1489,4330217,世界电影史,艺术学院,专业必修,1,2,1-16,星期二(第3节-第4节),李洋,
1490,4331305,艺术与劳动实践,艺术学院,专业任选,1,1,1-16,,邱章红 贾妍 唐宏峰 解明,
1491,4331570,戏剧艺术概论,艺术学院,专业必修,1,2,1-16,星期一(第3节-第4节),顾春芳,
1492,4332552,艺术训练（二）,艺术学院,全校公选课,1,1,1-16,,佟佳家,仅限高水平艺术团选课
1493,4630982,整合量子力学与分子光谱,元培学院,专业必修,1,4,1-16,星期一(第10节-第11节) 星期三(第7节-第8节),肖云龙,
1494,4631002,定量生物学导论,元培学院,专业必修,1,4,1-16,星期二(第7节-第8节) 星期四(第3节-第4节),李志远,
1495,4631817,元培综合实践,元培学院,专业限选,1,1,1-16,,刘建波 孙飞宇,
1496,4632034,多智能体系统,元培学院,专业限选,1,3,1-16,星期二(第10节-第12节),李文新 杨耀东,和信科合上
1497,4831260,机器感知实验,信息科学技术学院,专业任选,1,2,1-16,,曲天书,上课时间老师另行通知；
1498,12635230,城市生态与环境规划,城市与环境学院,专业必修,1,2,1-16,星期二(第1节-第2节) 星期三(第10节-第11节),李迪华,周三不需要教室，在景观301习题课，人文国土生态任
1499,12732200,大气环境模型与数据分析,环境科学与工程学院,专业必修,1,2,1-16,星期四(第5节-第6节),王雪松,
1500,12735250,低碳技术原理与应用,环境科学与工程学院,专业任选,1,2,1-16,星期四(第5节-第6节),张子帅,
1501,102931,代数几何专题,数学科学学院,专业任选,1,3,1-16,星期一(第5节-第6节) 星期三(第7节-第8节)(双),刘济豪,研本合上课程
1502,102934,复几何,数学科学学院,专业任选,1,3,1-16,星期二(第5节-第6节)(双) 星期五(第7节-第8节),朱小华,研本合上课程
1503,104128,量子理论,数学科学学院,专业任选,1,3,1-16,星期一(第1节-第2节) 星期三(第5节-第6节)(单),ThiangGuoChuan,研本合上课程
1504,104566,科学计算中的量子算法,数学科学学院,专业任选,1,3,1-16,星期二(第7节-第8节) 星期四(第5节-第6节)(单),安冬,研本合上课程
1505,110150,交换代数,数学科学学院,专业任选,1,3,1-16,星期三(第7节-第8节)(单) 星期五(第3节-第4节),周健,研本合上课程
1506,110190,动力系统,数学科学学院,专业任选,1,3,1-16,星期一(第7节-第8节) 星期三(第5节-第6节)(双),葛灵睿,研本合上课程
1507,110950,人工智能,数学科学学院,专业任选,1,3,1-16,星期一(第7节-第9节),林作铨,研本合上课程
1508,111770,代数几何II,数学科学学院,专业任选,1,3,1-16,星期一(第7节-第8节) 星期三(第5节-第6节)(双),訚琪峥,研本合上课程
1509,112780,应用偏微分方程,数学科学学院,专业任选,1,3,1-16,星期三(第5节-第6节) 星期五(第1节-第2节)(单),明平兵,
1510,112950,辛几何,数学科学学院,专业任选,1,3,1-16,星期二(第3节-第4节)(单) 星期四(第7节-第8节),刘小博,研本合上课程
1511,113070,差分方法II,数学科学学院,专业任选,1,3,1-16,星期一(第5节-第6节) 星期三(第7节-第8节)(单),吴朔男,研本合上课程
1512,113470,有限域,数学科学学院,专业任选,1,3,1-16,星期一(第3节-第4节)(双) 星期三(第1节-第2节),冯荣权,研本合上课程
1513,113780,符号计算,数学科学学院,专业任选,1,3,1-16,星期三(第7节-第9节),夏壁灿,研本合上课程
1514,130310,线性代数 (C),数学科学学院,专业必修,1,3,1-16,星期一(第3节-第4节) 星期三(第1节-第2节)(双),甘锐,
1515,131470,线性代数 (B)习题,数学科学学院,专业必修,1,0,1-16,星期一(第10节-第11节)(双),徐晓濛,
1516,131480,概率统计 （A）,数学科学学院,专业必修,1,3,1-16,星期三(第7节-第8节)(双) 星期五(第3节-第4节),章复熹,
1517,132302,数学分析（II）,数学科学学院,专业必修,1,5,1-16,星期一(第3节-第4节) 星期三(第1节-第2节),甘少波,
1518,132323,高等代数 (II ),数学科学学院,专业必修,1,4,1-16,星期二(第3节-第4节) 星期五(第1节-第2节),高峡,
1519,132610,密码学,数学科学学院,专业任选,1,3,1-16,星期二(第7节-第8节) 星期五(第7节-第8节)(单),徐茂智,
1520,132812,线性代数 A（ II ）习题,数学科学学院,专业必修,1,0,1-16,星期一(第10节-第11节)(双),赵玉凤,
1521,136900,同伦论,数学科学学院,专业任选,1,3,1-16,星期一(第3节-第4节)(单) 星期四(第7节-第8节),李谷川,研本合上课程
1522,1035031,中级物理化学实验,化学与分子工程学院,专业任选,1,2,1-8,星期三(第3节-第9节),吴忠云 郑俊荣,
1523,1130455,神经病理学,生命科学学院,专业任选,1,2,1-16,星期五(第5节-第6节),杨竞,
1524,1131061,植物学综合实验,生命科学学院,专业限选,1,2,9-16,星期二(第5节-第8节),王东辉,本研合上课，东配楼223
1525,1131110,生物技术制药基础,生命科学学院,专业必修,1,2,1-16,星期四(第7节-第8节),秦跟基,不能中期退课
1526,1132677,分子生物学实验,生命科学学院,专业必修,1,1,2-8,星期二(第5节-第8节),毕群 刘旖璇,生科、生技、生信必修；东配楼223
1527,1134105,生命科学前沿文献阅读讨论（5）,生命科学学院,专业限选,1,2,1-16,星期六(第7节-第8节),LOUIS LO-TIEN TAO(陶乐天),强化挑战班同学请选课。非强化挑战班同学如拟选课，请邮件联系2301110565@st
1528,1138541,分子生物学,生命科学学院,专业必修,1,2,1-16,星期一(第3节-第4节),张迪,生信必修
1529,1139000,神经生物学,生命科学学院,专业限选,1,2,1-16,星期一(第7节-第8节),于龙川,
1530,1139987,生物化学与分子生物学科研实践,生命科学学院,专业限选,1,3,1-16,,昌增益,供已经通过生化分子教研室科研实践答辩的同学选课
1531,2030040,中国现代文学史,中国语言文学系,专业必修,1,4,1-16,星期一(第5节-第6节) 星期三(第7节-第8节),孔庆东,
1532,2034330,鲁迅小说与世界文学,中国语言文学系,专业任选,1,2,1-16,星期三(第3节-第4节),张丽华,本研合上；文史/地学
1533,2035202,中国古代文学（下）,中国语言文学系,通选课,1,3,1-16,星期三(第7节-第8节),李简 李鹏飞,三节连排；中文系同学不选
1534,2035560,文学中的爱情,中国语言文学系,通选课,1,2,1-16,星期四(第10节-第11节),丛治辰,
1535,2035650,小说鉴赏与写作,中国语言文学系,通选课,1,3,1-16,星期四(第7节-第8节),樊迎春,三节连排；讲习所
1536,2200822,陶瓷工艺学基础,考古文博学院,专业限选,1,2,1-16,星期二(第7节-第8节),崔剑锋,本研合上
1537,2230120,田野考古学概论,考古文博学院,专业必修,1,2,1-16,星期二(第5节-第6节),张海,
1538,2304619,量子逻辑,哲学系,专业任选,1,2,1-16,星期三(第10节-第11节),钟盛阳,本研合上
1539,2315051,高级模态逻辑,哲学系,专业限选,1,4,1-16,星期二(第3节-第4节) 星期四(第3节-第4节),王彦晶,本研合上
1540,2319642,传统太极拳：哲学与实践,哲学系,全校公选课,1,2,1-16,星期三(第10节-第12节),朱效民,本研合上 全球课堂
1541,2330152,美学原理,哲学系,专业必修,1,2,1-16,星期一(第5节-第6节),宁晓萌,
1542,2335350,博物学导论,哲学系,通选课,1,2,1-16,星期一(第5节-第6节),刘华杰,要求对植物、生物有兴趣（绿协/中文优先）
1543,2430173,国际组织实习,国际关系学院,实习实践,1,6,1-16,星期六(第1节-第4节),赖华夏,无课程，国组专业预毕业同学选课，以提交实习报告结课
1544,2431600,中美经贸关系,国际关系学院,专业限选,1,3,1-16,星期二(第7节-第9节),王勇,国关C108
1545,2431610,中国边疆问题概论,国际关系学院,通选课,1,2,1-16,星期二(第3节-第4节),张植荣,最后一节课随堂考试 国关C109
1546,2431641,比较政治学,国际关系学院,专业必修,1,3,1-16,星期三(第7节-第8节),归泳涛,7-9三节连排
1547,2431840,社会科学方法论,国际关系学院,专业必修,1,3,1-16,星期一(第10节-第11节),陈长伟,10-12三节连排
1548,2431890,晚清对外关系的历史与人物,国际关系学院,通选课,1,2,1-16,星期二(第7节-第8节),李扬帆,论文考核
1549,2431920,欧洲联盟概论,国际关系学院,专业限选,1,3,1-16,星期三(第2节-第4节),卢晓,国关C108
1550,2431940,台湾政治概论,国际关系学院,通选课,1,2,1-16,星期一(第10节-第11节),李义虎,最后一节课随堂考试
1551,2432050,经济学原理,国际关系学院,专业必修,1,3,1-16,星期一(第7节-第8节),罗杭,7-9三节连排
1552,2432150,美国政治与公共政策,国际关系学院,专业限选,1,3,1-16,星期一(第7节-第8节),雷少华,7-9三节连排
1553,2432352,法语(2),国际关系学院,专业必修,1,0,1-16,星期五(第5节-第6节) 星期六(第5节-第6节),卢兴盛,小班研讨教室。周五5-6，周六5-8节
1554,2432424,专业文献选读（四）,国际关系学院,专业必修,1,1,1-16,星期二(第2节-第4节),戴惟静,国关C109
1555,2432426,国际谈判与国际公文写作,国际关系学院,全校公选课,1,2,1-16,星期六(第5节-第6节),张海滨 卢晓,慕课，理教308，线下课为第1、5、7、8、9周。
1556,2432450,“数说”国际关系,国际关系学院,通选课,1,3,1-16,星期四(第7节-第8节),庞珣,7-9三节连排  论文考核
1557,2432472,习近平外交思想研究,国际关系学院,全校公选课,1,1,1-16,星期一(第11节-第12节)(单),张清敏 安钰峰 初晓波 归泳涛 张海滨 董昭华 节大磊 项佐涛,本研合上课程(02419675习近平外交思想研究)
1558,2500255,数字经济发展与治理,经济学院,专业任选,1,2,1-16,星期三(第10节-第11节),年永威,本研合上
1559,2533550,日本经济,经济学院,专业限选,1,2,1-16,星期三(第3节-第4节),陶涛,
1560,2535580,新结构金融学：理论与实践,经济学院,专业必修,1,3,1-16,星期四(第5节-第7节),徐佳君,朗润园万众一楼大教室
1561,2535670,计算经济学,经济学院,专业限选,1,2,1-16,星期二(第5节-第6节),李博,本研合上
1562,2930180,知识产权法学,法学院,专业必修,1,3,1-16,星期一(第7节-第8节),边仁君,改7-9
1563,2930199,英国合约法,法学院,专业任选,1,2,1-16,星期五(第10节-第11节),张智勇 邓峰 葛云松 彭冰,本硕合
1564,2930235,比较法律前沿,法学院,专业任选,1,1,1-16,,戴昕,上课时间待定
1565,3033030,信息分析与决策,信息管理系,专业必修,1,3,1-16,星期三(第3节-第4节) 星期五(第5节-第6节)(双),王延飞,
1566,3033460,调查与统计方法,信息管理系,专业限选,1,3,1-16,星期三(第10节-第11节) 星期四(第10节-第11节)(单),邱韫哲,
1567,3033950,信息伦理与隐私保护,信息管理系,专业限选,1,2,1-16,星期四(第10节-第11节),夏汇川,
1568,3033990,目录学概论,信息管理系,专业任选,1,2,1-16,星期一(第5节-第6节),周亚,
1569,3130881,西方社会思想史,社会学系,专业任选,1,2,1-16,星期三(第5节-第6节),孙飞宇,
1570,3131131,家庭社会学,社会学系,专业限选,1,4,1-16,星期二(第7节-第8节) 星期四(第7节-第8节),乔天宇 田耕 杨善华 林鹄,
1571,3131900,社会博弈论,社会学系,专业限选,1,2,1-16,星期三(第5节-第6节),陶林,
1572,3131920,社会科学学术研究导论,社会学系,全校公选课,1,4,1-16,星期一(第7节-第8节),王利平 田耕,烦请改为三节连上，谢谢！“严复班”专设课程
1573,3131950,二十世纪的中国民族问题,社会学系,专业任选,1,2,1-16,星期四(第5节-第6节),王娟,本研合上
1574,3132020,人类学方法,社会学系,专业必修,1,3,1-16,星期一(第10节-第11节),林叶,烦请改为三节连上，谢谢！
1575,3132080,田野作业,社会学系,专业必修,1,3,1-16,星期五(第5节-第6节),王铭铭 郭金华 张帆 林叶 张力生 杨云鬯,
1576,3531032,蒙古文化（下）,外国语学院,专业必修,1,2,1-16,星期二(第5节-第6节),刘迪南,希望在一教
1577,3632042,德语笔译（二）,外国语学院,专业必修,1,2,1-16,星期一(第3节-第4节),梁晶晶,
1578,3632200,德语中短篇小说研究,外国语学院,专业任选,1,2,1-16,星期四(第7节-第8节),黄超然,
1579,3632292,德语写作（下）,外国语学院,专业任选,1,2,1-16,星期三(第3节-第4节),Mara Rogge,
1580,3632340,跨文化交际,外国语学院,专业任选,1,2,1-16,星期一(第5节-第6节),梁晶晶,
1581,4131001,运动训练（二）,体育教研部,专业必修,1,2,1-16,,,24级高水平运动员选课
1582,4330336,计算艺术概论,艺术学院,专业必修,1,2,1-16,星期一(第10节-第11节),高峰,
1583,4330343,造型与色彩,艺术学院,专业必修,1,2,1-16,星期四(第7节-第9节),徐紫迪,均斋
1584,4332284,毕业实习,艺术学院,专业必修,1,2,1-16,,邱章红 贾妍 唐宏峰,
1585,4630960,中国近现代史纲要,元培学院,思想政治,1,3,1-16,星期四(第10节-第11节),王久高,
1586,4631815,新生教育实践课程,生命科学学院,专业必修,1,1,1-16,,郑鹏里,供已按照要求参加“初入生科”系列活动的同学选修
1587,4631816,书院成长课程,元培学院,专业任选,1,2,1-16,,李泊桥 孙飞宇,
1588,4631820,声乐实践,元培学院,专业任选,1,2,1-16,星期二(第10节-第12节),孙飞宇 尤泓斐,
1589,4830270,程序设计语言概论,信息科学技术学院,专业任选,1,2,1-16,星期二(第5节-第6节),马秀莉,
1590,4831370,数据仓库与数据挖掘方法,信息科学技术学院,专业任选,1,2,1-16,星期四(第3节-第4节),童云海,
1591,4835080,多智能体基础,信息科学技术学院,专业必修,1,3,1-16,星期二(第10节-第11节),杨耀东,该课程三节连上，每周二10-12节；
1592,4835170,智能科学研究实践Ⅱ,信息科学技术学院,专业必修,1,3,1-16,星期一(第7节-第8节),陈宝权,本课程三节连上，每周一 7 - 9节；任课老师希望安排在理教上课；
1593,4835180,可信机器学习,信息科学技术学院,专业任选,1,2,1-16,星期四(第7节-第8节),王奕森,
1594,4835200,几何计算前沿,信息科学技术学院,专业任选,1,2,1-16,星期二(第10节-第11节),王鹏帅,
1595,4835220,角色动画与运动仿真,信息科学技术学院,专业任选,1,2,1-16,星期一(第10节-第11节),刘利斌,
1596,4835230,人工智能基础,信息科学技术学院,专业必修,1,3,1-16,星期一(第5节-第6节) 星期四(第7节-第8节)(单),李文新,与04834040“人工智能引论”互斥
1597,12730160,影像环保——科学、意识、行为的变迁,环境科学与工程学院,全校公选课,1,2,1-16,星期二(第10节-第11节),张世秋 贾峰,
1598,12735240,环境系统中的物理化学,环境科学与工程学院,专业任选,1,2,1-16,星期一(第5节-第6节),胡焱弟,本研合上
1599,20132032,实证商业分析,汇丰商学院,专业任选,1,2,10-18,星期二(第7节-第8节) 星期五(第7节-第8节),程越,
1600,61030020,大学生职业生涯规划,学生工作部人民武装部,全校公选课,1,2,1-16,星期三(第10节-第11节),樊志 李妍,
1601,102936,分析和方程专题,数学科学学院,专业任选,1,3,1-16,星期二(第7节-第8节) 星期四(第5节-第6节)(双),章志飞,研本合上课程
1602,110860,并行计算 II,数学科学学院,专业任选,1,3,1-16,星期二(第5节-第6节) 星期三(第3节-第4节)(单),杨超,研本合上课程
1603,130202,高等数学 (B) (二),数学科学学院,专业必修,1,5,1-16,星期二(第1节-第2节) 星期五(第3节-第4节),杨建生,
1604,130210,计算机图形学,数学科学学院,专业任选,1,3,1-16,星期三(第1节-第2节)(单) 星期五(第3节-第4节),姜明,
1605,131640,几何讨论班,数学科学学院,专业任选,1,3,1-16,星期二(第7节-第8节)(单) 星期五(第5节-第6节),包志强,
1606,132340,常微分方程,数学科学学院,专业必修,1,3,1-16,星期一(第3节-第4节) 星期三(第7节-第8节)(单),王嵬,
1607,132350,泛函分析,数学科学学院,专业任选,1,3,1-16,星期一(第5节-第6节) 星期四(第3节-第4节)(双),张栋,
1608,132372,高等代数II（实验班）,数学科学学院,专业必修,1,4,1-16,星期二(第3节-第4节) 星期五(第1节-第2节),安金鹏,
1609,132712,高等数学A（二）习题,数学科学学院,专业必修,1,0,1-16,星期三(第10节-第11节),周铁,
1610,133010,测度论,数学科学学院,专业任选,1,3,1-16,星期二(第1节-第2节) 星期四(第7节-第8节)(双),陈大岳,
1611,136890,基础代数几何,数学科学学院,专业任选,1,3,1-16,星期三(第3节-第4节) 星期五(第1节-第2节)(单),蔡金星,
1612,136950,概率统计（B）,国家发展研究院,双学位,1,4,1-16,星期三(第10节-第11节) 星期四(第10节-第11节),朱晓宝,
1613,137992,数理统计（实验班）,数学科学学院,专业任选,1,3,1-16,星期三(第3节-第4节) 星期五(第7节-第8节)(双),姚方,
1614,332260,材料力学,元培学院,专业必修,1,4,1-16,星期一(第3节-第4节) 星期五(第3节-第4节),李法新,
1615,332760,飞行力学与控制,元培学院,专业必修,1,3,1-16,星期五(第7节-第8节),杨剑影,7-9三节连上
1616,1034910,分析化学实验(B),医学部教学办,专业必修,1,2,2-16,星期四(第1节-第8节),李国宝,药123+药4班1-26号
1617,1130150,细胞生物学,生命科学学院,专业必修,1,3,1-16,星期一(第10节-第11节)(单) 星期四(第10节-第11节),李湘盈 陈晓伟 李国强 张莹 陈玥舟,生科必修
1618,1130161,细胞生物学综合实验,生命科学学院,专业限选,1,2,1-8,星期一(第5节-第8节),张丽君 董巍 吕红霞,主楼305-307，细胞间
1619,1131560,生物标本制作与艺术,生命科学学院,全校公选课,1,1,1-16,星期五(第1节-第4节),胡晓倩 张泉 孟世勇 辛广伟 龙玉,老生物楼东配楼122
1620,1132674,现代动物标本制作,生命科学学院,全校公选课,1,1,2-16,星期四(第5节-第8节),王戎疆 李大建,老生物楼东配楼323
1621,1132682,灵长类的行为、社会与进化,生命科学学院,全校公选课,1,2,1-16,星期四(第7节-第8节),殷丽洁,本研合上课
1622,1139001,药理学基础,生命科学学院,专业限选,1,2,1-16,星期三(第7节-第8节),于龙川,
1623,1139376,生物信息学实验,生命科学学院,专业必修,1,1,2-16,星期一(第5节-第8节),刘凤麟,生信大二、生科生技大三必修。该课程需与“生物信息学”课程同时选修
1624,1139496,文献强化阅读与学术报告 （II）,生命科学学院,专业任选,1,1,1-16,星期五(第5节-第6节),郭强,研本合上课，金光生命科学大楼101报告厅。部分讲座为英文。
1625,1139570,植物特有生命现象导论实验,生命科学学院,专业限选,1,1,9-16,星期四(第5节-第8节),王东辉,老生物楼东配楼223
1626,1139580,发育生物学,生命科学学院,专业限选,1,3,1-16,星期二(第3节-第4节) 星期四(第1节-第2节)(单),朱健,
1627,1139632,生物化学实验,生命科学学院,专业必修,1,2,2-16,星期三(第5节-第8节),王青松 刘旖璇 朱文苑 刘凤麟 秦咏梅 李龙 张哲,生科、生技、生信必修，东配楼123
1628,1139871,本科生科研实践进阶,生命科学学院,专业限选,1,3,1-16,,宋艳,仅限生科院2022级本科生选修
1629,1630020,CNS解剖,心理与认知科学学院,专业必修,1,2,1-16,星期三(第5节-第6节),邵枫,先修生理学，收旁听
1630,1630022,实验儿童心理学,心理与认知科学学院,专业任选,1,2,1-16,星期五(第5节-第6节),孟祥芝,先修发展心理学
1631,2030031,中国古代文学史 (一),中国语言文学系,专业必修,1,3,1-16,星期四(第10节-第11节),傅刚,三节连排
1632,2034020,中国有声语言和口传文化,中国语言文学系,全校公选课,1,2,1-16,星期三(第7节-第8节),陆尧,
1633,2034300,大学国文,中国语言文学系,通选课,1,2,1-16,星期一(第5节-第6节),周兴陆,
1634,2034470,国学经典讲论,中国语言文学系,通选课,1,2,1-16,星期二(第5节-第6节),吴国武,
1635,2034730,文字音韵训诂基础（下）,中国语言文学系,全校公选课,1,2,1-16,星期五(第3节-第4节),孙玉文,古典班
1636,2035100,学术写作与表达,中国语言文学系,通选课,1,2,1-16,星期四(第10节-第11节),孙华 宋亚云 苏彦捷 陈江 张久珍,
1637,2035710,民间文学田野调查实习,中国语言文学系,实习实践,1,2,1-16,,程梦稷,
1638,2080341,中国古代文学（一）,中国语言文学系,专业必修,1,3,1-16,星期二(第7节-第8节),于迎春,三节连排；留学生
1639,2130111,史学概论,历史学系,专业必修,1,2,1-16,星期一(第7节-第8节),李隆国,
1640,2130750,中国通史 (近代部分),历史学系,通选课,1,2,1-16,星期四(第5节-第6节),刘晨,
1641,2132250,中国近代政治与外交,历史学系,通选课,1,2,1-16,星期四(第3节-第4节),刘晨,
1642,2132340,魏晋南北朝史专题,历史学系,专业限选,1,2,1-16,星期三(第3节-第4节),胡鸿,
1643,2132501,大众文化视野下的日本古代,历史学系,全校公选课,1,2,1-16,星期四(第10节-第11节),梁晓弈,
1644,2132650,苏联史专题,历史学系,专业任选,1,2,1-16,星期三(第5节-第6节),庄宇,
1645,2132750,中国通史 (古代部分),历史学系,通选课,1,2,1-16,星期二(第5节-第6节),韩巍,开卷
1646,2133450,美国种族问题的演变,历史学系,专业任选,1,2,1-16,星期二(第3节-第4节),徐天,
1647,2133610,古代东方文明,历史学系,专业必修,1,2,1-16,星期三(第10节-第11节),颜海英,
1648,2139001,北大校史与北大学脉,历史学系,全校公选课,1,2,1-16,星期二(第10节-第11节),刘诗古,
1649,2232111,中国考古学（上一）,考古文博学院,专业必修,1,3,1-8,星期二(第5节-第6节) 星期四(第5节-第6节),曲彤丽,1-8周周五3-4博物馆看标本
1650,2304570,规范性理论专题,哲学系,专业限选,1,2,1-16,星期二(第7节-第8节),赵新侃,本研合上   外哲模块
1651,2304609,哲学中的自然主义,哲学系,专业任选,1,3,1-16,星期一(第7节-第9节),南星,新太阳210  外哲模块本研合上
1652,2330001,哲学导论,哲学系,专业必修,1,2,1-16,星期二(第7节-第8节),GREVESEBASTIAN SCHOENHERRJULIUS,
1653,2330004,哲学导论讨论课,哲学系,专业必修,1,0,1-16,星期四(第6节-第6节),GREVESEBASTIAN,
1654,2330055,西方哲学（上）讨论课,哲学系,专业必修,1,0,1-16,星期一(第1节-第2节)(双),先刚,
1655,2330142,伦理学导论,哲学系,专业必修,1,2,1-16,星期四(第10节-第11节),陈斯一,
1656,2332017,中国佛教经典选读,哲学系,专业任选,1,2,1-16,星期二(第5节-第6节),周学农,
1657,2332730,分析哲学专题：弗雷格,哲学系,专业任选,1,2,1-16,星期三(第10节-第11节),李麒麟,本研合上  外哲模块
1658,2332971,西方古典思想( 一),哲学系,专业限选,1,3,1-16,星期四(第7节-第9节),吴天岳,新太阳210  外教（Miklos Vassanyi)授课 本研合上 外哲模块
1659,2333042,哲学方法,哲学系,专业任选,1,3,1-16,星期四(第10节-第12节),GREVESEBASTIAN,新太阳210  本研合上
1660,2333093,德国古典哲学系列Ⅰ（谢林哲学）,哲学系,专业限选,1,2,1-16,星期三(第7节-第9节),先刚,新太阳210 本研合上
1661,2333096,德国古典哲学原著,哲学系,专业任选,1,3,1-16,星期二(第7节-第9节),刘哲,新太阳210  外哲模块 本研合上
1662,2333180,东西方哲学比较,哲学系,专业限选,1,2,1-16,星期三(第3节-第4节),韩林合,新太阳210 本研合上
1663,2338002,思想与社会研究方法,哲学系,专业任选,1,3,1-16,星期一(第10节-第11节),李猛,
1664,2500250,可持续发展与经济政策,经济学院,全校公选课,1,2,1-16,星期一(第10节-第11节),秦雪征,Taught in English 本研合上
1665,2533190,政治经济学（下）,经济学院,专业必修,1,3,1-16,星期三(第7节-第8节),张辉,连9
1666,2535250,外国经济史,经济学院,专业必修,1,3,1-16,星期一(第7节-第8节),赵一泠,连9 Taught in English
1667,3033246,电子资源的检索与利用,信息管理系,通选课,1,2,1-16,星期二(第5节-第6节),刘雅琼 李世娟,
1668,3033770,信息存储与检索,信息管理系,专业必修,1,3,1-16,星期一(第5节-第6节)(双) 星期三(第3节-第4节),赵丹群,
1669,3100130,国外社会学学说（上）,社会学系,专业必修,1,2,1-16,星期一(第3节-第4节),李康,
1670,3230020,政治学原理,政府管理学院,专业必修,1,3,1-16,星期一(第7节-第9节),高鹏程,政管502，艺特生、体特生、留学生、港澳台学生在选课第一周需参加听课资
1671,3230040,比较政治学概论,政府管理学院,专业必修,1,3,1-16,星期二(第10节-第12节),刘颜俊,政管505
1672,3230780,中国政治思想史,政府管理学院,专业必修,1,3,1-16,星期二(第2节-第4节),张允起,政管506，仅接受大二、大三学生选课，不接受大一及大四学生
1673,3230790,西方政治思想史,政府管理学院,专业必修,1,3,1-16,星期三(第10节-第12节),段德敏,政管506
1674,3231530,财政预算与行政财务管理,政府管理学院,专业限选,1,3,1-16,星期三(第1节-第3节),苗庆红,政管503
1675,3231910,当代世界经济与政治,政府管理学院,专业限选,1,3,1-16,星期三(第7节-第9节),王丽萍,政管515
1676,3232640,行政学研究方法,政府管理学院,专业必修,1,3,1-16,星期二(第7节-第9节),杨立华,政管506
1677,3232680,全球视野下的中国工业与经济发展,政府管理学院,专业限选,1,3,1-16,星期二(第10节-第12节),封凯栋,政管506
1678,3233170,行政学说史,政府管理学院,专业限选,1,3,1-16,星期二(第7节-第9节),罗薇,政管B104
1679,3233300,城市应急管理,政府管理学院,专业限选,1,1,1-8,星期五(第10节-第11节),杨立华 杨文辉 张洪谋 向天怡,政管306，圆桌形式
1680,3233470,风险、危机与管理,政府管理学院,专业限选,1,3,1-16,星期三(第2节-第4节),向天怡,政管504，本研合开
1681,3632232,德语语法精讲与实践（二）,外国语学院,专业必修,1,2,1-16,星期五(第3节-第4节),马剑,
1682,4330061,毕业作品（二）,艺术学院,专业限选,1,1,1-16,,陈宇,
1683,4330208,视觉文化导论,艺术学院,专业必修,1,2,1-16,星期二(第3节-第4节),唐宏峰,
1684,4330221,艺术训练（八）,艺术学院,全校公选课,1,1,1-16,,佟佳家,仅限高水平艺术团选课
1685,4330333,计算艺术实践与调研,艺术学院,专业任选,1,2,1-16,,高峰,
1686,4330334,计算艺术结业报告,艺术学院,专业任选,1,1,1-16,,高峰,
1687,4330649,影视理论与批评,艺术学院,专业必修,1,2,1-16,星期三(第3节-第4节),陈旭光,
1688,4331620,毕业论文,艺术学院,毕业论文/设计,1,4,1-16,,刘晨,仅限双学位
1689,4332211,中国电影专题,艺术学院,专业必修,1,2,1-16,星期一(第10节-第11节),李道新,
1690,4332556,艺术训练（六）,艺术学院,全校公选课,1,1,1-16,,佟佳家,仅限高水平艺术团选课
1691,4334007,敦煌的艺术,艺术学院,全校公选课,1,2,1-16,星期三(第3节-第4节),刘晨,慕课理教308
1692,19230060,声乐演唱及表演,歌剧研究院,通选课,1,2,1-17,星期四(第3节-第4节),李鸿,上课地点：资源东楼1239
1693,20131007,博弈论,汇丰商学院,专业必修,1,3,1-9,星期一(第6节-第8节) 星期四(第6节-第8节),Young Joon Park,
1694,23200001,材料与时代,材料科学与工程学院,通选课,1,2,1-16,星期四(第7节-第8节),曹安源,
1695,23200002,材料科学基础（下）,材料科学与工程学院,专业必修,1,4,1-16,星期一(第1节-第2节) 星期三(第3节-第4节),刘磊 李彪,
1696,23200013,机器智能与科学实验,材料科学与工程学院,专业任选,1,1,1-16,星期四(第10节-第11节)(双),莫凡洋,
1697,23200028,高分子材料科学与工程,材料科学与工程学院,专业任选,1,2,1-16,星期一(第5节-第6节),于海峰,
1698,23200160,彤程材料科学论坛II,材料科学与工程学院,专业必修,1,1,1-16,星期五(第7节-第8节)(双),张锦,双周7-8节，上课地点：图书馆科学报告厅
1699,89530125,英语写作（二）,医学部教学办,专业必修,1,2,1-16,星期四(第5节-第6节),Magriet Shippers,理教213
1700,90031999,性健康教育与性生殖健康治疗,医学部教学办,全校公选课,1,2,1-16,星期四(第10节-第11节),姜辉 邓俊,
